MODEL YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL TYPE,FUEL CONSUMPTION CITY,FUEL CONSUMPTION HWY,FUEL CONSUMPTION COMB,FUEL CONSUMPTION COMB,CO2 EMISSIONS,CO2 RATING,SMOG RATING
2019,ACURA,ILX,COMPACT,2.4,4,AM8,Z,9.9,7,8.6,33,199,6,3
2019,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.2,9,10.8,26,252,4,3
2019,ACURA,MDX SH-AWD A-SPEC,SUV - SMALL,3.5,6,AS9,Z,12.2,9.5,11,26,258,4,3
2019,ACURA,MDX HYBRID AWD,SUV - SMALL,3,6,AM7,Z,9.1,9,9,31,210,5,3
2019,ACURA,NSX,TWO-SEATER,3.5,6,AM9,Z,11.1,10.8,11,26,261,4,3
2019,ACURA,RDX AWD,SUV - SMALL,2,4,AS10,Z,11,8.6,9.9,29,232,5,6
2019,ACURA,RDX AWD A-SPEC,SUV - SMALL,2,4,AS10,Z,11.3,9.1,10.3,27,242,5,6
2019,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.4,8.2,8.4,34,196,6,7
2019,ACURA,TLX,COMPACT,2.4,4,AM8,Z,10,7.1,8.7,32,205,6,3
2019,ACURA,TLX A-SPEC,COMPACT,2.4,4,AM8,Z,10.2,7.4,8.9,32,209,5,3
2019,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.4,7.7,9.8,29,228,5,3
2019,ACURA,TLX SH-AWD A-SPEC,COMPACT,3.5,6,AS9,Z,12,8.2,10.3,27,240,5,3
2019,ALFA ROMEO,4C COUPE,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,6,1
2019,ALFA ROMEO,4C SPIDER,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,6,1
2019,ALFA ROMEO,GIULIA,MID-SIZE,2,4,A8,Z,10,7.2,8.7,32,205,6,3
2019,ALFA ROMEO,GIULIA AWD,MID-SIZE,2,4,A8,Z,10.5,7.7,9.2,31,217,5,3
2019,ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6,A8,Z,13.8,9.6,11.9,24,280,4,3
2019,ALFA ROMEO,STELVIO,SUV - SMALL,2,4,A8,Z,10.3,8.1,9.3,30,218,5,3
2019,ALFA ROMEO,STELVIO AWD,SUV - SMALL,2,4,A8,Z,10.8,8.3,9.6,29,226,5,3
2019,ALFA ROMEO,STELVIO AWD QUADRIFOGLIO,SUV - SMALL,2.9,6,A8,Z,14.1,10.4,12.4,23,292,3,3
2019,ASTON MARTIN,DB11 V8,MINICOMPACT,4,8,A8,Z,13,9.8,11.5,25,271,4,3
2019,ASTON MARTIN,DB11 AMR,MINICOMPACT,5.2,12,A8,Z,15.5,10.6,13.3,21,312,3,3
2019,ASTON MARTIN,DBS SUPERLEGGERA,MINICOMPACT,5.2,12,A8,Z,16.4,10.7,13.8,20,324,3,3
2019,ASTON MARTIN,RAPIDE AMR,SUBCOMPACT,6,12,A8,Z,16.7,10.9,14.1,20,332,3,3
2019,ASTON MARTIN,VANQUISH ZAGATO,MINICOMPACT,6,12,A8,Z,17.5,11.4,14.7,19,346,2,3
2019,ASTON MARTIN,VANTAGE V8,TWO-SEATER,4,8,A8,Z,12.7,9.4,11.2,25,264,4,3
2019,AUDI,A3,SUBCOMPACT,2,4,AM7,X,9.1,6.8,8.1,35,188,6,7
2019,AUDI,A3 QUATTRO,SUBCOMPACT,2,4,AM7,X,10.9,7.9,9.6,29,225,5,7
